candidate_id,split,dataset,src,tgt,source,reference,candidate,acceptable,worst_severity,primary_category,note
2fe819429ae02981,dev,mtnt,fr,en,(Il existe des U moins encombrant),(Less bulky U locks exist),(There are less cumbersome U's),yes,minor,terminology,“U”未展开为 U-locks/U 型锁，英文里 “U's” 不易理解；原文本身也是省略写法
05f79ba58e8f0cb8,dev,mtnt,ja,en,T25のキーボードが、T470sかT480sに繋げれるかわかる人いる？,Anyone know if you can fit a T25 keyboard to a T470s or T480s?,Does anyone know if a T25 keyboard can connect to a T470s or T480s?,yes,none,,
f8afa6bcdc97f53a,dev,tatoeba,nl,no,Hij heeft geluk zo'n goede vrouw te hebben.,Han er heldig som har en så god hustru.,Han er heldig som har en så god kone.,yes,none,,
43ee5ed40529dd35,holdout,tatoeba,it,de,Cerchiamo di aspettare e vedere come si sviluppano le cose.,"Lass uns abwarten und schauen, wie sich die Dinge entwickeln.","Lass uns abwarten und sehen, wie sich die Dinge entwickeln.",yes,none,,
92f12d35a13fcf69,dev,mtnt,ja,en,誰かお店に直接行って確認、または電話で確認することができますか？,Is it possible for anyone to either ask in person or ring them?,"Can someone go directly to the store to check, or confirm by phone?",yes,none,,
f0a249c454633b73,holdout,mtnt,fr,en,Deux appareils sur trois vendus par Apple sont toujours en utilisation !,Two out of three devices sold by Apple are still in use!,Two out of three devices sold by Apple are still in use!,yes,none,,
d9b8f342ea5d121a,dev,subtitle,fr,de,"Tu te laisses manipuler par elle, Jack.","Du lässt dich von ihr manipulieren, Jack.","Du lässt dich von ihr manipulieren, Jack.",yes,none,,
8886ce04328e64ef,dev,subtitle,da,no,- Ja.,-Jeg vet., - Ja. ,yes,none,,与原文同形，但“Ja”在挪威语中相同，属有效翻译；参考译文与原文不对应
836abf7f646bf560,holdout,subtitle,en,no,"Dad, by the time you get back from your business trip, I'll be in South Africa.","Pappa, når du kommer tilbake fra forretningsreisen, er jeg i Sør-Afrika.","Pappa, når du kommer tilbake fra forretningsreisen, vil jeg være i Sør-Afrika.",yes,none,,
3cd727976ee084bc,holdout,subtitle,no,it,"- Den? Nei, jo, vel...","Questo no, si, no.","- Den? No, sì, beh...",no,major,accuracy,“Den?”未翻译（应为 Questo?/Quello?），其余部分正确
eb4ad7387bc52ac2,dev,tatoeba,nl,de,De Finnen drinken veel koffie.,Die Finnen trinken viel Kaffee.,Die Finnen trinken viel Kaffee.,yes,none,,
d938119fcca2dfc6,holdout,subtitle,nl,da,Ik wilde niet dat er iemand gearresteerd werd.,Jeg... ville ikke have nogen arresteret.,"Jeg ville ikke have, at nogen blev arresteret.",yes,none,,
