candidate_id,model,source_file,legacy_score,legacy_score_band,sampling_tier,wrapper_repaired
2fe819429ae02981,gemma-3-27b,result/gemma-3-27b.csv,78,mid,normal,False
05f79ba58e8f0cb8,haiku-4-5-opt,result/haiku-4-5-opt.csv,82,mid,edge_case,True
f8afa6bcdc97f53a,llama-4-maverick,result/llama-4-maverick.csv,95,high,normal,False
43ee5ed40529dd35,llama-4-maverick,result/llama-4-maverick.csv,87,mid,normal,True
92f12d35a13fcf69,haiku-4-5-opt,result/haiku-4-5-opt.csv,78,mid,edge_case,True
f0a249c454633b73,nova-pro,result/nova-pro.csv,79,mid,normal,False
d9b8f342ea5d121a,gemma-3-27b,result/gemma-3-27b.csv,95,high,normal,False
8886ce04328e64ef,nova-pro,result/nova-pro.csv,62,low,suspected_error,False
836abf7f646bf560,gpt-oss-120b,result/gpt-oss-120b.csv,90,high,normal,True
3cd727976ee084bc,haiku-4-5,result/haiku-4-5.csv,62,low,suspected_error,False
eb4ad7387bc52ac2,deepseek-v3-2,result/deepseek-v3-2.csv,99,high,edge_case,False
d938119fcca2dfc6,llama-4-maverick,result/llama-4-maverick.csv,87,mid,normal,False
2f1521fdeb20aaf6,glm-5,result/glm-5.csv,90,high,edge_case,False
57ead0f34587cc1f,gemma-3-27b-reasoning,result/gemma-3-27b-reasoning.csv,50,low,suspected_error,False
0217bfabaa5723c0,gpt-oss-120b,result/gpt-oss-120b.csv,15,low,suspected_error,False
d5e83e72950f456f,gemma-3-27b,result/gemma-3-27b.csv,62,low,suspected_error,False
a82b086813c45d61,nova-pro,result/nova-pro.csv,97,high,edge_case,False
05b3166d04834c6f,llama-4-maverick,result/llama-4-maverick.csv,48,low,suspected_error,False
96b6a7b0a362d1c5,haiku-4-5-opt,result/haiku-4-5-opt.csv,85,mid,edge_case,True
2e5de0a29309450b,gemma-3-27b,result/gemma-3-27b.csv,95,high,normal,False
5ad27cc283e43300,haiku-4-5-opt,result/haiku-4-5-opt.csv,95,high,edge_case,True
e89078ac91c0f8c0,haiku-4-5-opt,result/haiku-4-5-opt.csv,95,high,normal,True
ba081c05f8833bba,nova-pro,result/nova-pro.csv,62,low,suspected_error,False
fc6a424fb3000428,glm-5,result/glm-5.csv,0,low,suspected_error,False
cda26dd27cd1a7f5,gemma-3-27b,result/gemma-3-27b.csv,85,mid,normal,False
ad4c04e3e58b81bc,nova-pro,result/nova-pro.csv,78,mid,normal,False
b794a76ffc7f76e0,deepseek-v3-2,result/deepseek-v3-2.csv,95,high,normal,False
a030c75d5fa2b077,deepseek-v3-2,result/deepseek-v3-2.csv,90,high,edge_case,False
1382be2c11f84cb0,gemma-3-27b,result/gemma-3-27b.csv,90,high,normal,False
426ceffe4b5f6a08,glm-5,result/glm-5.csv,92,high,normal,True
0bb93deafcaf87eb,gpt-oss-120b,result/gpt-oss-120b.csv,95,high,normal,False
79060206c91b2ac4,gemma-3-27b,result/gemma-3-27b.csv,95,high,normal,False
0c7299ef2dc54e12,deepseek-v3-2,result/deepseek-v3-2.csv,95,high,edge_case,False
74d6560865e1cb11,deepseek-v3-2,result/deepseek-v3-2.csv,78,mid,edge_case,False
3a5752b578e236f1,deepseek-v3-2,result/deepseek-v3-2.csv,70,mid,edge_case,False
d08689cba16c9a9e,llama-4-maverick,result/llama-4-maverick.csv,95,high,normal,True
f0732293364845cf,haiku-4-5,result/haiku-4-5.csv,62,low,suspected_error,False
4d97f3fe07b865b3,llama-4-maverick,result/llama-4-maverick.csv,90,high,normal,False
d917c25e3d91dd7f,gemma-3-27b-reasoning,result/gemma-3-27b-reasoning.csv,87,mid,normal,False
dc1a8fc48b8c5d96,haiku-4-5,result/haiku-4-5.csv,82,mid,normal,False
4fdec17d62adb8a8,glm-5,result/glm-5.csv,97,high,edge_case,False
e034e3b5a15a06b2,haiku-4-5,result/haiku-4-5.csv,62,low,suspected_error,False
16da476e8a2bdc3e,llama-4-maverick,result/llama-4-maverick.csv,92,high,normal,False
addef5045184972a,nova-pro,result/nova-pro.csv,10,low,suspected_error,True
e77ca209d153c6b3,haiku-4-5-opt,result/haiku-4-5-opt.csv,95,high,edge_case,True
0765ab15d7cf643c,gemma-3-27b,result/gemma-3-27b.csv,82,mid,normal,False
640f699840a1b0d5,haiku-4-5,result/haiku-4-5.csv,82,mid,normal,False
f742dc3362ee3e1a,glm-5,result/glm-5.csv,82,mid,normal,True
90b8678f37ce36d1,glm-5,result/glm-5.csv,82,mid,normal,False
72fb2a8121d2912d,gpt-oss-120b,result/gpt-oss-120b.csv,79,mid,normal,False
ed30fb74de7423f0,gpt-oss-120b,result/gpt-oss-120b.csv,90,high,normal,False
6ddbf4d516f921c7,glm-5,result/glm-5.csv,95,high,edge_case,True
adcb2a52703eb888,gemma-3-27b-reasoning,result/gemma-3-27b-reasoning.csv,82,mid,normal,False
12c1090f5574b9ff,gemma-3-27b-reasoning,result/gemma-3-27b-reasoning.csv,52,low,suspected_error,True
8e9e516a6961b8aa,haiku-4-5-opt,result/haiku-4-5-opt.csv,42,low,suspected_error,True
b1b81a174c452d9c,llama-4-maverick,result/llama-4-maverick.csv,68,low,suspected_error,True
fe01f701ad120f57,nova-pro,result/nova-pro.csv,62,low,suspected_error,False
09d3722afa2c9435,llama-4-maverick,result/llama-4-maverick.csv,95,high,normal,False
3a0def2db76a8942,gpt-oss-120b,result/gpt-oss-120b.csv,90,high,normal,True
90cd30a1614008cd,glm-5,result/glm-5.csv,30,low,suspected_error,False
3649c1d9a26adeb0,nova-pro,result/nova-pro.csv,62,low,suspected_error,False
516807942eedab99,haiku-4-5-opt,result/haiku-4-5-opt.csv,73,mid,edge_case,True
c71b2eeabcf097f2,gemma-3-27b,result/gemma-3-27b.csv,97,high,normal,False
6777fd263fbb208c,haiku-4-5,result/haiku-4-5.csv,82,mid,normal,False
6c245cc8d7f4cb6b,glm-5,result/glm-5.csv,95,high,normal,False
4fd0ad9765e9a1a9,gpt-oss-120b,result/gpt-oss-120b.csv,95,high,normal,False
767230b32d887e2b,haiku-4-5-opt,result/haiku-4-5-opt.csv,90,high,normal,True
12e32bde0c58ba3a,deepseek-v3-2,result/deepseek-v3-2.csv,82,mid,normal,False
411076add0eaa4c1,gemma-3-27b-reasoning,result/gemma-3-27b-reasoning.csv,83,mid,normal,False
6dabc1419dd0bd57,gpt-oss-120b,result/gpt-oss-120b.csv,82,mid,normal,False
8aff94607feadca1,glm-5,result/glm-5.csv,88,mid,edge_case,False
404e65c6f6fb8a44,gemma-3-27b-reasoning,result/gemma-3-27b-reasoning.csv,62,low,suspected_error,False
f5995db43b5914fa,gpt-oss-120b,result/gpt-oss-120b.csv,68,low,suspected_error,False
e96cca07cf0d821f,nova-pro,result/nova-pro.csv,30,low,suspected_error,True
41408c7ac45a8215,gemma-3-27b-reasoning,result/gemma-3-27b-reasoning.csv,62,low,suspected_error,False
d1de084872f5869b,haiku-4-5,result/haiku-4-5.csv,65,low,suspected_error,False
3e9300960c673594,deepseek-v3-2,result/deepseek-v3-2.csv,90,high,normal,False
659f7f7d8907f26f,gemma-3-27b-reasoning,result/gemma-3-27b-reasoning.csv,82,mid,normal,False
9185411fc3ad79d9,gemma-3-27b,result/gemma-3-27b.csv,95,high,normal,False
81ac2bec71fa1bf1,haiku-4-5,result/haiku-4-5.csv,0,low,suspected_error,False
75601ccab627c176,haiku-4-5-opt,result/haiku-4-5-opt.csv,92,high,normal,True
d8cc3ea0a7a561fd,gemma-3-27b-reasoning,result/gemma-3-27b-reasoning.csv,62,low,suspected_error,False
fcf20dfe6884dd2f,haiku-4-5,result/haiku-4-5.csv,85,mid,normal,False
bc29584b6abd2072,llama-4-maverick,result/llama-4-maverick.csv,78,mid,normal,True
3fc285da31374200,glm-5,result/glm-5.csv,72,mid,edge_case,False
88f81810bba1edcd,llama-4-maverick,result/llama-4-maverick.csv,82,mid,normal,False
e0a82d8deb109486,haiku-4-5-opt,result/haiku-4-5-opt.csv,62,low,suspected_error,True
1298ce0c63fd46d6,gpt-oss-120b,result/gpt-oss-120b.csv,74,mid,normal,True
9831a8cbbe9f5bab,deepseek-v3-2,result/deepseek-v3-2.csv,90,high,normal,False
02c20bb790a54f9a,haiku-4-5,result/haiku-4-5.csv,0,low,suspected_error,False
08e4b2f010e7d9db,gemma-3-27b-reasoning,result/gemma-3-27b-reasoning.csv,62,low,suspected_error,False
ac677a33785c5f55,deepseek-v3-2,result/deepseek-v3-2.csv,82,mid,edge_case,False
43fecd47cacafff1,deepseek-v3-2,result/deepseek-v3-2.csv,95,high,edge_case,False
43f935ca115d290a,gpt-oss-120b,result/gpt-oss-120b.csv,95,high,normal,False
aef9bacfbccd1c66,nova-pro,result/nova-pro.csv,82,mid,normal,False
39dce43fc9da0989,gemma-3-27b,result/gemma-3-27b.csv,82,mid,normal,False
34cf6be7721ba7a8,gemma-3-27b-reasoning,result/gemma-3-27b-reasoning.csv,68,low,suspected_error,False
c57bc43493c51ff8,deepseek-v3-2,result/deepseek-v3-2.csv,62,low,suspected_error,False
8bbebde364baa4d8,haiku-4-5,result/haiku-4-5.csv,82,mid,edge_case,False
caebd2ee18cb1702,nova-pro,result/nova-pro.csv,62,low,suspected_error,False
