record_id,sample_index,model_name,model_id,dataset,src,tgt,raw,ref,trans_raw,trans,translation_structured,call_attempts,call_retries,first_call_success,first_output_valid,recovered_by_retry,call_success,call_error,format_valid,format_error,language_valid,language_check,policy_pass,policy_violations,policy_warnings,judge_success,judge_error,judge_raw,judge_acceptable,judge_errors,judge_structured,judge_attempts,judge_retries,judge_first_call_success,judge_first_output_valid,judge_recovered_by_retry,translation_score,score,input_tokens,output_tokens,total_tokens,latency_ms,judge_input_tokens,judge_output_tokens,judge_total_tokens,judge_latency_ms
17bb227d208b5fd75004,0,gemma-3-27b-reasoning,managed-prompt,mtnt,en,fr,"The notion of sharing is clearly less present but by deleting progressively, it works very well, does not it?","La notion de partage est clairement moins là mais en supprimant au fur et à mesure ça passe très bien, non ?","{""c"":""La notion de partage est clairement moins présente, mais en supprimant progressivement, ça fonctionne très bien, non?""}","La notion de partage est clairement moins présente, mais en supprimant progressivement, ça fonctionne très bien, non?",True,1,0,True,True,False,True,,True,,True,"{""reason"":""detector_match"",""detected"":""fr"",""confidence"":1.0}",True,[],[],True,,"{""errors"":[]}",True,[],True,1,0,True,True,False,100,100,1336,27,1363,1584.58,1360,8,1368,1870.34
2636c8d9e9eb1de3cd87,1,gemma-3-27b-reasoning,managed-prompt,mtnt,en,fr,(Less bulky U locks exist),(Il existe des U moins encombrant),"{""c"":""(Des antivols en U moins volumineux existent)""}",(Des antivols en U moins volumineux existent),True,1,0,True,True,False,True,,True,,True,"{""reason"":""detector_match"",""detected"":""fr"",""confidence"":1.0}",True,[],[],True,,"{""errors"":[]}",True,[],True,1,0,True,True,False,100,100,1321,16,1337,1410.4,1300,8,1308,1904.03
c3651eb69dbb3ba8d285,2,gemma-3-27b-reasoning,managed-prompt,mtnt,en,fr,I'm hesitating to pass the VTC licence to combine it to my translation work while waiting to be skilled enough in Web Development for a reconversion.,J'hésite à passer la licence VTC pour cumuler avec mon activité de traducteur en attendant d'être assez calé en développement Web pour une reconversion.,"{""c"":""J’hésite à valider la licence VTC pour la combiner à mon travail de traduction en attendant d’acquérir suffisamment de compétences en développement web pour une reconversion.""}",J’hésite à valider la licence VTC pour la combiner à mon travail de traduction en attendant d’acquérir suffisamment de compétences en développement web pour une reconversion.,True,1,0,True,True,False,True,,True,,True,"{""reason"":""detector_match"",""detected"":""fr"",""confidence"":1.0}",True,[],[],True,,"{""errors"":[]}",True,[],True,1,0,True,True,False,100,100,1346,41,1387,1949.18,1391,8,1399,1782.13
d31048aa9599915016f9,3,gemma-3-27b-reasoning,managed-prompt,mtnt,en,fr,"If in doubt, fiddle with the doc.",Dans le doute bidouille le doc.,"{""c"":""Si vous avez un doute, modifiez le document.""}","Si vous avez un doute, modifiez le document.",True,1,0,True,True,False,True,,True,,True,"{""reason"":""detector_match"",""detected"":""fr"",""confidence"":0.8571}",True,[],[],True,,"{""errors"":[]}",True,[],True,1,0,True,True,False,100,100,1323,16,1339,1509.9,1305,8,1313,1788.36
dc814cb1d0ff1d330eff,4,gemma-3-27b-reasoning,managed-prompt,mtnt,en,fr,Could she be a servant of eviiiiiiiil?,Serait-ce une envoyée du Maaaaaal?,"{""c"":""Pourrait-elle être au service du maliiiiiiii ?""}",Pourrait-elle être au service du maliiiiiiii ?,True,1,0,True,True,False,True,,True,,,"{""reason"":""detector_inconclusive"",""detected"":""ro"",""confidence"":0.8571}",True,[],[],True,,"{""errors"":[]}",True,[],True,1,0,True,True,False,100,100,1325,17,1342,1405.35,1316,8,1324,1887.01
af25fcd265c58d49db7e,5,gemma-3-27b-reasoning,managed-prompt,mtnt,en,fr,Two out of three devices sold by Apple are still in use!,Deux appareils sur trois vendus par Apple sont toujours en utilisation !,"{""c"":""Deux appareils sur trois vendus par Apple sont encore utilisés !""}",Deux appareils sur trois vendus par Apple sont encore utilisés !,True,1,0,True,True,False,True,,True,,True,"{""reason"":""detector_match"",""detected"":""fr"",""confidence"":1.0}",True,[],[],True,,"{""errors"":[]}",True,[],True,1,0,True,True,False,100,100,1327,17,1344,1272.45,1321,8,1329,1761.74
2fc08723ff98d14c12ff,6,gemma-3-27b-reasoning,managed-prompt,mtnt,en,fr,"I knew the content would be epic, I didn't know how much.","Je sentais bien que le contenu pouvait être collector, je ne me doutais pas à quel point.","{""c"":""Je savais que le contenu serait épique, mais pas à quel point.""}","Je savais que le contenu serait épique, mais pas à quel point.",True,1,0,True,True,False,True,,True,,True,"{""reason"":""detector_match"",""detected"":""fr"",""confidence"":1.0}",True,[],[],True,,"{""errors"":[]}",True,[],True,1,0,True,True,False,100,100,1330,21,1351,1456.5,1331,8,1339,1890.45
6f21256a94d8a01faf91,7,gemma-3-27b-reasoning,managed-prompt,mtnt,en,fr,Despite all this I managed to get around it thanks to the power of the brain.,"Après malgré ça, j'ai réussi à contourner ce problème grâce aux pouvoirs du cerveau.","{""c"":""Malgré tout cela, j'ai réussi à contourner le problème grâce à la puissance du cerveau.""}","Malgré tout cela, j'ai réussi à contourner le problème grâce à la puissance du cerveau.",True,1,0,True,True,False,True,,True,,True,"{""reason"":""detector_match"",""detected"":""fr"",""confidence"":1.0}",True,[],[],True,,"{""errors"":[]}",True,[],True,1,0,True,True,False,100,100,1331,26,1357,1628.96,1352,8,1360,1722.72
855cdd7f327048173108,8,gemma-3-27b-reasoning,managed-prompt,mtnt,en,fr,What do you live for?,Quel est votre but dans la vie ?,"{""c"":""Qu'est-ce qui vous fait vivre ?""}",Qu'est-ce qui vous fait vivre ?,True,1,0,True,True,False,True,,True,,True,"{""reason"":""detector_match"",""detected"":""fr"",""confidence"":1.0}",True,[],[],True,,"{""errors"":[]}",True,[],True,1,0,True,True,False,100,100,1320,15,1335,694.1,1303,8,1311,1252.43
630fb95f6850d74a9773,9,gemma-3-27b-reasoning,managed-prompt,mtnt,en,fr,"Aaaaaaaah.... 8 years later, I've just realized.... :o damn I had the feeling that I was missing something considering the upvotes.","Aaaaaaaah.... 8 ans après, je viens de percuter....  :o 'tain je me disais bien que je passais à côté d'un truc vu les upvotes.","{""c"":""Aaaaaaaah.... 8 ans plus tard, je viens de réaliser.... :o zut, j'avais l'impression qu'il me manquait quelque chose vu le nombre de votes positifs.""}","Aaaaaaaah.... 8 ans plus tard, je viens de réaliser.... :o zut, j'avais l'impression qu'il me manquait quelque chose vu le nombre de votes positifs.",True,1,0,True,True,False,True,,True,,True,"{""reason"":""detector_match"",""detected"":""fr"",""confidence"":1.0}",True,[],[],True,,"{""errors"":[]}",True,[],True,1,0,True,True,False,100,100,1347,47,1394,1175.37,1408,8,1416,1224.22
168ed67b0a086511f40d,10,gemma-3-27b-reasoning,managed-prompt,mtnt,en,jp,It’s okay to be ahead of the curve tho.,彼はでもちょっと先に行っても良いと思います。,"{""c"":""大丈夫だよ。""}",大丈夫だよ。,True,1,0,True,True,False,True,,True,,True,"{""reason"":""target_script_present"",""detected"":""ja"",""confidence"":1.0}",True,[],[],True,,"{""errors"":[{""category"":""accuracy"",""severity"":""major""}]}",False,"[{""category"":""accuracy"",""severity"":""major""}]",True,1,0,True,True,False,85,85,1326,8,1334,609.42,1314,17,1331,1225.74
4da2606d02f686f4cf67,11,gemma-3-27b-reasoning,managed-prompt,mtnt,en,jp,"Sure, but the VR aspect of the game was a shining crazy diamond when it came out.",そうだな、ただVRとしての観点からみれば、これは光り輝くダイヤモンドみたいなもんだ。,"{""c"":""このゲームのVR機能は、発売当初は輝かしいクレイジーダイヤモンドでした。""}",このゲームのVR機能は、発売当初は輝かしいクレイジーダイヤモンドでした。,True,1,0,True,True,False,True,,True,,True,"{""reason"":""target_script_present"",""detected"":""ja"",""confidence"":1.0}",True,[],[],True,,"{""errors"":[{""category"":""accuracy"",""severity"":""minor""},{""category"":""preservation"",""severity"":""minor""}]}",True,"[{""category"":""accuracy"",""severity"":""minor""},{""category"":""preservation"",""severity"":""minor""}]",True,1,0,True,True,False,94,94,1333,23,1356,1009.99,1372,26,1398,1255.07
bae788edc557b1efcc79,12,gemma-3-27b-reasoning,managed-prompt,mtnt,en,jp,>What do you do to jog your memory back when you forgot something?,"> あなたが何かを忘れてしまったとき,思い出すために何をしますか？","{""c"":""何かを忘れたときに、記憶を呼び起こすために何をしますか？""}",何かを忘れたときに、記憶を呼び起こすために何をしますか？,True,1,0,True,True,False,True,,True,,True,"{""reason"":""target_script_present"",""detected"":""ja"",""confidence"":1.0}",True,[],[],True,,"{""errors"":[{""category"":""preservation"",""severity"":""minor""}]}",True,"[{""category"":""preservation"",""severity"":""minor""}]",True,1,0,True,True,False,97,97,1329,21,1350,933.55,1346,17,1363,1294.11
