candidate_id,split,dataset,src,tgt,source,reference,candidate,acceptable,worst_severity,primary_category,note
fb4d84f57c1f7386,dev,tatoeba,de,it,"Wisst ihr, Tom ist intelligenter als ihr.","Tom è più intelligente di voi, sapete.","Sapete, Tom è più intelligente di voi.",yes,none,,
590996d614dad66b,holdout,tatoeba,es,da,Nos reunimos aquí una vez por semana.,Vi mødes her en gang om ugen.,Vi mødes her en gang om ugen.,yes,none,,
551fe64d1b142475,dev,tatoeba,es,nl,Es capaz de enseñar francés.,Hij kan Frans onderwijzen.,Kan Frans onderwijzen.,no,major,fluency,缺主语，荷兰语中不成句（应为 Hij kan Frans onderwijzen）
6c4b9d82281349e3,holdout,mtnt,ja,en,どう思うか教えてくれよ！,Let me know what you think!,Tell me what you think!,yes,none,,
615de8360b232dc1,dev,subtitle,no,es,- Du lot pappa komme hjem igjen!,¡Dejaste que papá volviera a casa!,¡Du lote papá vuelve a casa de nuevo!,no,critical,accuracy,混入未翻译的挪威语“Du lote”，句子不成立，“你让爸爸回家”的使役关系丢失
9df98879d55bf1b1,dev,subtitle,de,es,Was hat sie dir gesagt?,¿Qué te dijo?,¿Qué te dijo ella?,yes,none,,
fcb81bdb06d5f8d2,dev,mtnt,fr,en,"Après malgré ça, j'ai réussi à contourner ce problème grâce aux pouvoirs du cerveau.",Despite all this I managed to get around it thanks to the power of the brain.,"After all that, I managed to work around this problem thanks to the power of my mind.",yes,minor,accuracy,“malgré ça”的让步关系被弱化成“After all that”，cerveau 译为 my mind 略有增译
d9c2e65af27777a9,dev,tatoeba,nl,es,Mijn zus houdt van meloenen en ik ook.,"A mi hermana le gustan los melones, y a mí también.",Mi hermana ama los melones y yo también.,yes,minor,fluency,“ama los melones”不自然，西语一般用 le gustan / le encantan
cf4123ee1a5da479,holdout,subtitle,da,es,Vi har travlt.,"Ves, es que estamos ocupados.",Estamos ocupados.,yes,none,,参考译文有字幕语境的添加成分，译文照原文更准确
83cf0e51b16d903e,dev,mtnt,en,ja,My sweet Anzu…,我が愛しのあんずちゃん……,My sweet Anzu…,no,critical,accuracy,完全未翻译，输出仍为英文原文（目标语为日语）
ee27e1fd91a13bfb,dev,subtitle,ja,it,これが俺でこっちがお前 いや これがお前でこれが俺,Questo sono io e questo sei tu. Cioè tu sei questo e io sono questo.,"Questo sono io e questo sei tu No aspetta, questo sei tu e questo sono io",yes,minor,fluency,“sei tu No aspetta”缺句末标点，另增译了“aspetta”
ad8525b49dcb1741,dev,tatoeba,ja,es,そんなことは絶対に不可能です。,Es absolutamente imposible.,Eso es absolutamente imposible.,yes,none,,
